study_ind;site;lat;lon
1;Lek-Vortuka;"67d25'01\"N";"63d22'01\"E"
2;Eight-Mile;"63d52'01\"N";"149d15'01\"W"
3;SE;"67d35'01\"N";"62d56'01\"E"
4;Eight-Mile;"63d52'01\"N";"149d15'01\"W"
5;Abisko;"68d21'01\"N";"18d49'01\"E"
6;Usinsk;"67d01'01\"N";"60d01'01\"E"
7;Samoylov;"72d22'01\"N";"126d30'01\"E"
8;Blaesdalen;"69d16'01\"N";"53d27'01\"W"
9;Bol'Shoy Lyakhovsky;"72d01'01\"N";"140d90'01\"E"
9;Lena;"72d57'01\"N";"126d11'01\"E"
9;Duvanny var;"69d01'01\"N";"156d01'01\"E"
10;Kolyma;"69d01'01\"N";"156d01'01\"E"
11;Morilla;"66d06'01\"N";"22d23'01\"W"
12;Buor Khaya;"71d34'01\"N";"132d12'01\"E"
13;Buor Khaya;"71d34'01\"N";"132d12'01\"E"
14;Kolyma;"69d01'01\"N";"156d01'01\"E"
15;Yukechi;"61d45'53\"N";"130d27'59\"E"
16;MAT;"69d23'01\"N";"146d44'01\"W"
